id,gid,x,y,v_x,v_y,radius,time
6,6,0.000136,-7.714245,0.000905,0.898079,0.500000,0.500000
7,7,5.484304,-5.484145,-0.540574,0.540963,0.500000,0.500000
0,0,7.683777,0.000131,-0.898502,0.000465,0.500000,0.550000
1,1,5.459941,5.459951,-0.556653,-0.556512,0.500000,0.550000
2,2,0.000280,7.671454,0.001405,-0.932997,0.500000,0.550000
3,3,-5.431861,5.431701,0.637811,-0.638879,0.500000,0.550000
4,4,-7.716418,0.000062,0.801858,0.000142,0.500000,0.550000
5,5,-5.427449,-5.427346,0.650355,0.651468,0.500000,0.550000
6,6,0.000195,-7.666967,0.001169,0.945569,0.500000,0.550000
7,7,5.455895,-5.455719,-0.568175,0.568519,0.500000,0.550000
0,0,7.636811,0.000157,-0.939309,0.000524,0.500000,0.600000
1,1,5.430913,5.430935,-0.580554,-0.580337,0.500000,0.600000
2,2,0.000366,7.622697,0.001711,-0.975129,0.500000,0.600000
3,3,-5.398555,5.398329,0.666108,-0.667443,0.500000,0.600000
4,4,-7.674599,0.000068,0.836380,0.000125,0.500000,0.600000
5,5,-5.393487,-5.393311,0.679239,0.680691,0.500000,0.600000
6,6,0.000268,-7.617557,0.001463,0.988191,0.500000,0.600000
7,7,5.426265,-5.426075,-0.592604,0.592879,0.500000,0.600000
0,0,7.588010,0.000186,-0.976031,0.000587,0.500000,0.650000
1,1,5.400832,5.400869,-0.601628,-0.601316,0.500000,0.650000
2,2,0.000468,7.572049,0.002047,-1.012965,0.500000,0.650000
3,3,-5.363987,5.363680,0.691370,-0.692991,0.500000,0.650000
4,4,-7.631256,0.000073,0.866857,0.000101,0.500000,0.650000
5,5,-5.358236,-5.357968,0.705037,0.706858,0.500000,0.650000
6,6,0.000357,-7.566235,0.001788,1.026445,0.500000,0.650000
7,7,5.395557,-5.395358,-0.614156,0.614337,0.500000,0.650000
0,0,7.537555,0.000219,-1.009101,0.000653,0.500000,0.700000
1,1,5.369825,5.369883,-0.620137,-0.619712,0.500000,0.700000
2,2,0.000589,7.519701,0.002414,-1.046953,0.500000,0.700000
3,3,-5.328292,5.327888,0.713899,-0.715825,0.500000,0.700000
4,4,-7.586573,0.000077,0.893668,0.000069,0.500000,0.700000
5,5,-5.321833,-5.321455,0.728058,0.730278,0.500000,0.700000
6,6,0.000464,-7.513196,0.002144,1.060784,0.500000,0.700000
7,7,5.363902,-5.363700,-0.633098,0.633161,0.500000,0.700000
0,0,7.485609,0.000255,-1.038910,0.000723,0.500000,0.750000
1,1,5.338009,5.338095,-0.636319,-0.635763,0.500000,0.750000
2,2,0.000730,7.465827,0.002814,-1.077496,0.500000,0.750000
3,3,-5.291594,5.291078,0.733968,-0.736217,0.500000,0.750000
4,4,-7.540715,0.000078,0.917160,0.000030,0.500000,0.750000
5,5,-5.284403,-5.283893,0.748583,0.751228,0.500000,0.750000
6,6,0.000591,-7.458615,0.002530,1.091615,0.500000,0.750000
7,7,5.331418,-5.331220,-0.649672,0.649593,0.500000,0.750000
0,0,7.432318,0.000295,-1.065814,0.000798,0.500000,0.800000
1,1,5.305489,5.305611,-0.650387,-0.649681,0.500000,0.800000
2,2,0.000892,7.410579,0.003246,-1.104958,0.500000,0.800000
3,3,-5.254002,5.253357,0.751824,-0.754414,0.500000,0.800000
4,4,-7.493832,0.000078,0.937647,-0.000017,0.500000,0.800000
5,5,-5.246060,-5.245395,0.766862,0.769960,0.500000,0.800000
6,6,0.000738,-7.402650,0.002949,1.119308,0.500000,0.800000
7,7,5.298214,-5.298028,-0.664097,0.663850,0.500000,0.800000
0,0,7.377812,0.000339,-1.090135,0.000877,0.500000,0.850000
1,1,5.272363,5.272528,-0.662533,-0.661658,0.500000,0.850000
2,2,0.001078,7.354095,0.003713,-1.129671,0.500000,0.850000
3,3,-5.215618,5.214825,0.767688,-0.770638,0.500000,0.850000
4,4,-7.446062,0.000074,0.955409,-0.000071,0.500000,0.850000
5,5,-5.206904,-5.206060,0.783121,0.786701,0.500000,0.850000
6,6,0.000908,-7.345440,0.003401,1.144198,0.500000,0.850000
7,7,5.264385,-5.264221,-0.676567,0.676129,0.500000,0.850000
0,0,7.322203,0.000387,-1.112168,0.000960,0.500000,0.900000
1,1,5.238716,5.238935,-0.672931,-0.671868,0.500000,0.900000
2,2,0.001288,7.296498,0.004218,-1.151935,0.500000,0.900000
3,3,-5.176530,5.175571,0.781758,-0.785089,0.500000,0.900000
4,4,-7.397527,0.000067,0.970703,-0.000134,0.500000,0.900000
5,5,-5.167026,-5.165977,0.797563,0.801655,0.500000,0.900000
6,6,0.001103,-7.287110,0.003890,1.166588,0.500000,0.900000
7,7,5.230022,-5.229891,-0.687259,0.686604,0.500000,0.900000
0,0,7.265594,0.000439,-1.132180,0.001047,0.500000,0.950000
1,1,5.204630,5.204912,-0.681733,-0.680463,0.500000,0.950000
2,2,0.001527,7.237897,0.004765,-1.172021,0.500000,0.950000
3,3,-5.136819,5.135673,0.794214,-0.797946,0.500000,0.950000
4,4,-7.348339,0.000057,0.983758,-0.000204,0.500000,0.950000
5,5,-5.126508,-5.125227,0.810373,0.815006,0.500000,0.950000
6,6,0.001324,-7.227773,0.004417,1.186753,0.500000,0.950000
