id,gid,x,y,v_x,v_y,radius,time
0,0,-8.993500,-1.000000,0.130000,0.000000,0.750000,0.050000
1,0,-8.993500,1.000000,0.130000,0.000000,0.750000,0.050000
2,1,-0.006500,0.000000,-0.130000,0.000000,0.750000,0.050000
0,0,-8.981150,-1.000000,0.247000,-0.000000,0.750000,0.100000
1,0,-8.981150,1.000000,0.247000,0.000000,0.750000,0.100000
2,1,-0.018850,0.000000,-0.247000,0.000000,0.750000,0.100000
0,0,-8.963536,-1.000001,0.352286,-0.000012,0.750000,0.150000
1,0,-8.963536,1.000001,0.352286,0.000012,0.750000,0.150000
2,1,-0.036464,0.000000,-0.352272,0.000000,0.750000,0.150000
0,0,-8.941188,-1.000006,0.446947,-0.000110,0.750000,0.200000
1,0,-8.941188,1.000006,0.446947,0.000110,0.750000,0.200000
2,1,-0.058805,0.000000,-0.446823,0.000000,0.750000,0.200000
0,0,-8.914593,-1.000027,0.531906,-0.000409,0.750000,0.250000
1,0,-8.914593,1.000027,0.531906,0.000409,0.750000,0.250000
2,1,-0.085377,0.000000,-0.531449,0.000000,0.750000,0.250000
0,0,-8.884194,-1.000078,0.607988,-0.001023,0.750000,0.300000
1,0,-8.884194,1.000078,0.607988,0.001023,0.750000,0.300000
2,1,-0.115720,0.000000,-0.606849,0.000000,0.750000,0.300000
0,0,-8.850396,-1.000180,0.675950,-0.002041,0.750000,0.350000
1,0,-8.850396,1.000180,0.675950,0.002041,0.750000,0.350000
2,1,-0.149404,0.000000,-0.673686,0.000000,0.750000,0.350000
0,0,-8.813571,-1.000356,0.736499,-0.003531,0.750000,0.400000
1,0,-8.813571,1.000356,0.736499,0.003531,0.750000,0.400000
2,1,-0.186034,0.000000,-0.732605,0.000000,0.750000,0.400000
0,0,-8.774057,-1.000633,0.790291,-0.005541,0.750000,0.450000
1,0,-8.774057,1.000633,0.790291,0.005541,0.750000,0.450000
2,1,-0.225246,0.000000,-0.784228,0.000000,0.750000,0.450000
0,0,-8.732160,-1.001039,0.837938,-0.008104,0.750000,0.500000
1,0,-8.732160,1.001039,0.837938,0.008104,0.750000,0.500000
2,1,-0.266703,0.000000,-0.829157,0.000000,0.750000,0.500000
0,0,-8.688160,-1.001601,0.880007,-0.011244,0.750000,0.550000
1,0,-8.688160,1.001601,0.880007,0.011244,0.750000,0.550000
2,1,-0.310102,0.000000,-0.867967,0.000000,0.750000,0.550000
0,0,-8.642308,-1.002350,0.917022,-0.014980,0.750000,0.600000
