id,gid,x,y,v_x,v_y,radius,time
6,6,0.000238,-7.713853,0.002051,0.900451,0.500000,0.500000
7,7,5.483699,-5.483642,-0.544732,0.544267,0.500000,0.500000
0,0,7.683044,0.000084,-0.903401,0.000083,0.500000,0.550000
1,1,5.459180,5.459267,-0.561124,-0.560461,0.500000,0.550000
2,2,0.000452,7.670951,0.003053,-0.935703,0.500000,0.550000
3,3,-5.431207,5.431244,0.641794,-0.641647,0.500000,0.550000
4,4,-7.715830,-0.000052,0.805903,-0.000698,0.500000,0.550000
5,5,-5.426684,-5.426790,0.653687,0.655004,0.500000,0.550000
6,6,0.000387,-7.666430,0.002979,0.948459,0.500000,0.550000
7,7,5.455017,-5.455005,-0.573628,0.572742,0.500000,0.550000
0,0,7.635747,0.000079,-0.945947,-0.000102,0.500000,0.600000
1,1,5.429885,5.430013,-0.585903,-0.585082,0.500000,0.600000
2,2,0.000658,7.622036,0.004133,-0.978313,0.500000,0.600000
3,3,-5.397649,5.397698,0.671164,-0.670912,0.500000,0.600000
4,4,-7.673725,-0.000101,0.842099,-0.000974,0.500000,0.600000
5,5,-5.392569,-5.392531,0.682295,0.685173,0.500000,0.600000
6,6,0.000592,-7.616850,0.004097,0.991602,0.500000,0.600000
7,7,5.425042,-5.425099,-0.599511,0.598113,0.500000,0.600000
0,0,7.586492,0.000052,-0.985086,-0.000533,0.500000,0.650000
1,1,5.399510,5.399678,-0.607510,-0.606691,0.500000,0.650000
2,2,0.000928,7.571205,0.005400,-1.016607,0.500000,0.650000
3,3,-5.362768,5.362837,0.697634,-0.697227,0.500000,0.650000
4,4,-7.630580,-0.000267,0.862907,-0.003317,0.500000,0.650000
5,5,-5.356611,-5.356811,0.719176,0.714407,0.500000,0.650000
6,6,0.000862,-7.565332,0.005401,1.030366,0.500000,0.650000
7,7,5.393909,-5.394066,-0.622653,0.620664,0.500000,0.650000
0,0,7.535037,-0.000248,-1.029117,-0.005996,0.500000,0.700000
1,1,5.368592,5.368641,-0.618349,-0.620751,0.500000,0.700000
2,2,0.001271,7.518655,0.006849,-1.051017,0.500000,0.700000
3,3,-5.326641,5.326772,0.722540,-0.721303,0.500000,0.700000
4,4,-7.585996,-0.000420,0.891675,-0.003068,0.500000,0.700000
5,5,-5.319583,-5.319867,0.740561,0.738872,0.500000,0.700000
6,6,0.001209,-7.512078,0.006947,1.065082,0.500000,0.700000
7,7,5.361745,-5.362033,-0.643281,0.640645,0.500000,0.700000
0,0,7.482095,-0.000402,-1.058833,-0.003084,0.500000,0.750000
1,1,5.336665,5.336605,-0.638549,-0.640712,0.500000,0.750000
2,2,0.001695,7.464559,0.008476,-1.081917,0.500000,0.750000
3,3,-5.289341,5.289609,0.745992,-0.743251,0.500000,0.750000
4,4,-7.540186,-0.000552,0.916202,-0.002634,0.500000,0.750000
5,5,-5.281608,-5.281819,0.759494,0.760956,0.500000,0.750000
6,6,0.001642,-7.457265,0.008649,1.096262,0.500000,0.750000
7,7,5.328679,-5.329128,-0.661313,0.658112,0.500000,0.750000
0,0,7.427798,-0.000407,-1.085944,-0.000088,0.500000,0.800000
1,1,5.303828,5.303671,-0.656730,-0.658677,0.500000,0.800000
